Question,Operation,Difficulty,Answer,Choices
5|||3,Addition,Easy,8,"6,7,8,9"
9|||4,Addition,Easy,13,"11,12,13,14"
7|||2,Addition,Easy,9,"7,8,9,10"
10|||8,Addition,Easy,18,"16,17,18,19"
3|||6,Addition,Easy,9,"8,9,10,11"
11|||5,Addition,Easy,16,"14,15,16,17"
8|||7,Addition,Easy,15,"13,14,15,16"
4|||9,Addition,Easy,13,"11,12,13,14"
6|||12,Addition,Easy,18,"16,17,18,19"
14|||2,Addition,Easy,16,"14,15,16,17"
23|||14,Addition,Medium,37,"34,35,37,38"
45|||27,Addition,Medium,72,"69,70,72,73"
39|||18,Addition,Medium,57,"55,56,57,58"
61|||29,Addition,Medium,90,"87,89,90,91"
54|||33,Addition,Medium,87,"85,86,87,88"
72|||16,Addition,Medium,88,"86,87,88,89"
84|||48,Addition,Medium,132,"130,131,132,133"
67|||35,Addition,Medium,102,"100,101,102,103"
91|||46,Addition,Medium,137,"135,136,137,138"
76|||28,Addition,Medium,104,"102,103,104,105"
135|||246,Addition,Hard,381,"378,380,381,383"
182|||319,Addition,Hard,501,"498,500,501,503"
295|||157,Addition,Hard,452,"450,451,452,453"
488|||231,Addition,Hard,719,"717,718,719,720"
576|||343,Addition,Hard,919,"917,918,919,920"
615|||276,Addition,Hard,891,"889,890,891,892"
732|||481,Addition,Hard,1213,"1211,1212,1213,1214"
893|||647,Addition,Hard,1540,"1538,1539,1540,1541"
964|||735,Addition,Hard,1699,"1697,1698,1699,1700"
1048|||859,Addition,Hard,1907,"1905,1906,1907,1908"
