Question,Operation,Difficulty,Answer,Choices
10|||2,Division,Easy,5,"3,4,5,6"
12|||3,Division,Easy,4,"2,3,4,5"
16|||4,Division,Easy,4,"2,3,4,5"
20|||5,Division,Easy,4,"2,3,4,5"
18|||6,Division,Easy,3,"2,3,4,5"
24|||8,Division,Easy,3,"2,3,4,5"
30|||6,Division,Easy,5,"3,4,5,6"
36|||9,Division,Easy,4,"2,3,4,5"
42|||7,Division,Easy,6,"4,5,6,7"
48|||8,Division,Easy,6,"4,5,6,7"
64|||8,Division,Medium,8,"6,7,8,9"
72|||9,Division,Medium,8,"6,7,8,9"
81|||9,Division,Medium,9,"7,8,9,10"
90|||6,Division,Medium,15,"13,14,15,16"
96|||12,Division,Medium,8,"6,7,8,9"
108|||9,Division,Medium,12,"10,11,12,13"
121|||11,Division,Medium,11,"9,10,11,12"
132|||12,Division,Medium,11,"9,10,11,12"
144|||16,Division,Medium,9,"7,8,9,10"
156|||13,Division,Medium,12,"10,11,12,13"
256|||16,Division,Hard,16,"14,15,16,17"
289|||17,Division,Hard,17,"15,16,17,18"
324|||18,Division,Hard,18,"16,17,18,19"
361|||19,Division,Hard,19,"17,18,19,20"
400|||20,Division,Hard,20,"18,19,20,21"
441|||21,Division,Hard,21,"19,20,21,22"
484|||22,Division,Hard,22,"20,21,22,23"
529|||23,Division,Hard,23,"21,22,23,24"
576|||24,Division,Hard,24,"22,23,24,25"
625|||25,Division,Hard,25,"23,24,25,26"
