Question,Operation,Difficulty,Answer,Choices
7|||3,Multiplication,Easy,21,"19,20,21,22"
4|||6,Multiplication,Easy,24,"22,23,24,25"
9|||5,Multiplication,Easy,45,"43,44,45,46"
2|||8,Multiplication,Easy,16,"14,15,16,17"
3|||7,Multiplication,Easy,21,"19,20,21,22"
6|||6,Multiplication,Easy,36,"34,35,36,37"
5|||9,Multiplication,Easy,45,"43,44,45,46"
8|||4,Multiplication,Easy,32,"30,31,32,33"
7|||5,Multiplication,Easy,35,"33,34,35,36"
3|||9,Multiplication,Easy,27,"25,26,27,28"
11|||8,Multiplication,Medium,88,"86,87,88,89"
12|||7,Multiplication,Medium,84,"82,83,84,85"
13|||9,Multiplication,Medium,117,"115,116,117,118"
14|||6,Multiplication,Medium,84,"82,83,84,85"
15|||8,Multiplication,Medium,120,"118,119,120,121"
16|||9,Multiplication,Medium,144,"142,143,144,145"
18|||5,Multiplication,Medium,90,"88,89,90,91"
19|||7,Multiplication,Medium,133,"131,132,133,134"
21|||6,Multiplication,Medium,126,"124,125,126,127"
23|||9,Multiplication,Medium,207,"205,206,207,208"
25|||12,Multiplication,Hard,300,"298,299,300,301"
27|||14,Multiplication,Hard,378,"376,377,378,379"
32|||15,Multiplication,Hard,480,"478,479,480,481"
39|||13,Multiplication,Hard,507,"505,506,507,508"
44|||18,Multiplication,Hard,792,"790,791,792,793"
52|||16,Multiplication,Hard,832,"830,831,832,833"
61|||14,Multiplication,Hard,854,"852,853,854,855"
67|||19,Multiplication,Hard,1273,"1271,1272,1273,1274"
73|||21,Multiplication,Hard,1533,"1531,1532,1533,1534"
82|||23,Multiplication,Hard,1886,"1884,1885,1886,1887"
